# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
gen ben yuan yin 	根本原因	c=1 d=1 t=20347
gen ji 	根基	c=2 d=1.00102 t=21700
gen ju 	根據	c=5 d=1 t=16699
gen ni shuo 	跟你說	c=0 d=0.1 t=9089
gen ni shuo de 	跟你說的	c=1 d=1 t=9090
gen ta 	跟他	c=1 d=1 t=465
gen wo shuo 	跟我說	c=1 d=1 t=17593
gen yuan 	根源	c=1 d=1 t=20411
gen zhe 	跟着	c=2 d=1 t=16669
geng 	更	c=3 d=0.1 t=23460
geng ben 	更本	c=1 d=1 t=21220
geng bu 	更不	c=0 d=0.1 t=6917
geng bu rong yi 	更不容易	c=1 d=1 t=6918
geng da 	更大	c=0 d=0.1 t=15003
geng da sheng li 	更大勝利	c=1 d=1 t=15004
geng duo 	更多	c=6 d=1 t=22321
geng duo dian 	更多點	c=1 d=1 t=6929
geng gao 	更高	c=2 d=1.00231 t=20171
geng gao shui ping 	更高水平	c=1 d=1 t=15178
geng hao 	更好	c=1 d=1 t=9872
geng he kuang 	更何況	c=1 d=1 t=23923
geng jia 	更加	c=7 d=0.225556 t=20884
geng jia zhu zhong 	更加注重	c=1 d=1 t=20885
geng le 	更了	c=1 d=1 t=3931
geng mao 	耕貓	c=2 d=1 t=16756
geng qing xi 	更清晰	c=1 d=1 t=10247
geng shi 	更是	c=1 d=1 t=8765
geng shu fu 	更束縛	c=1 d=1 t=23461
geng shuang 	更爽	c=1 d=1 t=10293
geng ti 	更替	c=1 d=1 t=2930
geng tu le 	梗圖了	c=1 d=1 t=7531
geng wan 	更完	c=1 d=0.1 t=19003
geng wan le 	更完了	c=1 d=1 t=19004
geng wei 	更爲	c=6 d=5.62719 t=20967
geng wei ming xian 	更爲明顯	c=1 d=1 t=20868
geng xin 	更新	c=12 d=1 t=26569
geng xin bao 	更新包	c=1 d=1 t=10765
geng xin wan 	更新完	c=1 d=1 t=12572
gong 	供	c=2 d=1 t=15084
gong 	公	c=1 d=1 t=26011
gong 	功	c=1 d=1 t=5464
gong bu 	公佈	c=1 d=1 t=5646
gong ce 	公廁	c=1 d=1 t=18306
gong chan dang 	共產黨	c=12 d=1.48025 t=22110
gong chan zhu yi 	共產主義	c=4 d=1.00334 t=21467
gong cheng 	工程	c=3 d=1.01078 t=21387
gong cheng neng li 	工程能力	c=1 d=1 t=6152
gong chu 	共處	c=2 d=1.00001 t=21076
gong dian 	供電	c=1 d=1 t=26320
gong dou 	共鬥	c=4 d=1.99005 t=13728
gong fang 	工坊	c=1 d=1 t=12685
gong fang 	攻防	c=3 d=2.79741 t=7829
gong gao 	公告	c=3 d=1 t=22866
gong gao li 	公告裏	c=1 d=1 t=19399
gong gao qun 	公告羣	c=2 d=1 t=22721
gong gong 	公共	c=1 d=1 t=18713
gong guo 	功過	c=0 d=0.1 t=14814
gong guo shi fei 	功過是非	c=2 d=1 t=20218
gong he 	共和	c=1 d=1 t=21687
gong he guo 	共和國	c=6 d=1.03453 t=15271
gong he zhi 	共和制	c=1 d=1 t=21706
gong hui 	工會	c=0 d=0.1 t=4196
gong hui zhan 	工會戰	c=6 d=1.12431 t=26009
gong ji 	攻擊	c=4 d=1 t=13523
gong ji li 	攻擊力	c=1 d=1 t=6726
gong jing ai 	宮頸癌	c=1 d=1 t=6945
gong ju 	工具	c=5 d=1.19866 t=26539
gong ju lian 	工具鏈	c=1 d=1 t=12296
gong kai 	公開	c=1 d=1 t=21289
gong kai de 	公開的	c=1 d=1 t=5816
gong ke 	工科	c=0 d=0.1 t=9965
gong ke sheng 	工科生	c=1 d=1 t=9966
gong lve 	攻略	c=2 d=1 t=6845
gong min 	公民	c=1 d=1 t=21514
gong ming 	共鳴	c=1 d=1 t=13668
gong neng 	功能	c=12 d=1 t=18031
gong nong 	工農	c=2 d=1.66698 t=14181
gong nong bing 	工農兵	c=2 d=1.84366 t=14020
gong nong lian meng 	工農聯盟	c=1 d=1 t=21427
gong ping zheng yi 	公平正義	c=2 d=1.9802 t=21217
gong ren 	工人	c=1 d=1 t=21420
gong ren de 	公認的	c=1 d=1 t=8675
gong shi 	公式	c=1 d=0.1 t=7942
gong si 	公司	c=6 d=1 t=23738
gong tong 	共同	c=2 d=1.90748 t=20886
gong tong gang ling 	共同綱領	c=1 d=1 t=14491
gong tong ti 	共同體	c=1 d=1 t=21232
gong tong tui jin 	共同推進	c=1 d=1 t=20457
gong xiang 	共享	c=3 d=1 t=19333
gong xiang zhang hao 	共享帳號	c=1 d=1 t=1202
gong xing jie dao 	公興街道	c=1 d=1 t=5995
gong yao 	公鑰	c=0 d=0.1 t=2041
gong yao si yao 	公鑰私鑰	c=1 d=1 t=2042
gong ye guo 	工業國	c=1 d=1 t=14430
gong ye hua 	工業化	c=1 d=1 t=14599
gong you zhi 	公有制	c=1 d=1 t=15315
gong zheng 	公正	c=2 d=1.01841 t=21019
gong zhu 	公主	c=9 d=3.58391 t=25051
gong zi 	工資	c=1 d=1 t=12725
gong zuo 	工作	c=4 d=0.1 t=21227
gong zuo bao zheng cao 	工作保證草	c=1 d=1 t=15957
gong zuo fang shi 	工作方式	c=1 d=1 t=14397
gong zuo fu 	工作服	c=1 d=1 t=16887
gong zuo liu 	工作流	c=3 d=2.4642 t=11134
gong zuo shi 	工作室	c=10 d=1.00002 t=24650
gong zuo zhe 	工作者	c=2 d=1.96561 t=11176
gong zuo zhong xin 	工作重心	c=1 d=1 t=14403
gou 	夠	c=5 d=1.00777 t=24724
gou 	狗	c=6 d=1 t=19469
gou bu gou 	夠不夠	c=1 d=1 t=7274
gou da 	勾搭	c=1 d=1 t=18999
gou gou 	狗狗	c=1 d=1 t=10677
gou jian 	構建	c=2 d=1.6942 t=15435
gou le 	夠了	c=3 d=1 t=24715
gou le 	狗了	c=1 d=1 t=25824
gou mai 	購買	c=1 d=1 t=13001
gou mao 	苟貓	c=1 d=1 t=24540
gou qi 	勾起	c=1 d=1 t=2957
gou qu 	狗區	c=2 d=1.9802 t=24507
gou tou 	狗頭	c=1 d=1 t=11278
gou zi 	狗子	c=1 d=1 t=808
gu dian 	古典	c=2 d=1.94176 t=2059
gu dian yin yue 	古典音樂	c=0 d=0.1 t=5643
gu dian yin yue jie 	古典音樂界	c=1 d=1 t=5644
gu ding 	固定	c=4 d=1.88899 t=23584
gu ding le 	固定了	c=1 d=1 t=12112
gu ding shi 	固定式	c=1 d=1 t=13591
gu ge 	谷歌	c=2 d=1 t=25396
gu ge kong jian 	谷歌空間	c=1 d=1 t=3150
gu ge shang dian 	谷歌商店	c=1 d=1 t=1807
gu gua 	孤寡	c=2 d=1.7827 t=24534
gu guo 	咕果	c=1 d=1 t=569
gu ji 	估計	c=7 d=1.0009 t=26344
gu jia 	估價	c=1 d=1 t=5862
gu jian 	固件	c=1 d=1 t=16313
gu shen 	古神	c=1 d=1 t=22899
gu shi 	古詩	c=0 d=0.1 t=19797
gu shi 	故事	c=0 d=0.1 t=17830
gu shi ji 	故事集	c=1 d=1 t=17831
gu shi wen 	古詩文	c=1 d=1 t=19798
gu suan 	估算	c=1 d=1 t=5861
gu tai 	固態	c=1 d=1 t=26565
gu ti 	固體	c=2 d=1.8825 t=24348
gu tian 	古田	c=0 d=0.1 t=13935
gu tian hui yi 	古田會議	c=2 d=1 t=21837
gu xi la 	古希臘	c=1 d=1 t=16112
gu yi 	故意	c=1 d=1 t=13680
gu yi 	顧憶	c=2 d=1.91851 t=17222
gua 	掛	c=9 d=0.683092 t=26693
gua 	瓜	c=14 d=2.40696 t=24013
gua bu gua 	掛不掛	c=1 d=1 t=3964
gua de 	掛的	c=0 d=0.1 t=18207
gua fu 	寡婦	c=1 d=1 t=13705
gua gua 	瓜瓜	c=1 d=1 t=22827
gua jian 	掛件	c=1 d=1 t=7288
gua ke 	掛科	c=1 d=1 t=17272
gua le 	掛了	c=5 d=1.33936 t=26693
gua tou 	寡頭	c=1 d=1 t=21342
gua wang 	瓜王	c=1 d=1 t=3415
gua zai 	掛在	c=1 d=1 t=23397
guai 	怪	c=4 d=1 t=11992
guai bu de 	怪不得	c=2 d=1 t=23874
guai le 	怪了	c=0 d=0.1 t=5244
guai mai 	拐賣	c=1 d=1 t=7650
guai shou 	怪獸	c=3 d=0.879215 t=6747
guan 	管	c=1 d=1.00034 t=2593
guan 	罐	c=1 d=1 t=3551
guan 	觀	c=1 d=1 t=22406
guan 	關	c=1 d=1 t=8405
guan bi 	關閉	c=6 d=1 t=19171
guan che 	貫徹	c=2 d=1 t=20881
guan chuan 	貫穿	c=1 d=1 t=21981
guan deng 	關燈	c=2 d=1 t=23747
guan dian 	觀點	c=6 d=1.00011 t=22400
guan diao 	關掉	c=1 d=1 t=23057
guan fang 	官方	c=7 d=1 t=26689
guan hou gan 	觀後感	c=3 d=2.07643 t=2611
guan huai 	關懷	c=1 d=1 t=26253
guan jian 	關鍵	c=4 d=0.0677057 t=26693
guan jian huo dong 	關鍵活動	c=1 d=1 t=5179
guan jian jie duan 	關鍵階段	c=1 d=1 t=15544
guan jian lu jing 	關鍵路徑	c=4 d=0.680451 t=26693
guan jian zi 	關鍵字	c=2 d=1 t=8451
guan jun 	冠軍	c=2 d=1.00002 t=9663
guan le 	慣了	c=0 d=0.1 t=25150
guan le 	關了	c=7 d=1 t=14556
guan li 	管理	c=6 d=1 t=23458
guan li qi 	管理器	c=2 d=0.1 t=23370
guan li qi le 	管理器了	c=1 d=1 t=23371
guan li xi tong 	管理系統	c=2 d=1 t=17920
guan li yuan 	管理員	c=5 d=4.01666 t=19502
guan men zhu yi 	關門主義	c=1 d=1 t=14142
guan pei 	官配	c=1 d=1 t=2477
guan wang 	官網	c=7 d=1 t=25454
guan xi 	關係	c=11 d=1.00001 t=21555
guan ya 	關押	c=0 d=0.1 t=19291
guan ya zai 	關押在	c=1 d=1 t=19292
guan yong 	管用	c=0 d=0.1 t=21863
guan yu 	關於	c=16 d=1.00072 t=21623
guan yu zhe ge de 	關於這個的	c=1 d=1 t=7152
guan zhi 	管制	c=1 d=1 t=20529
guan zhong 	觀衆	c=1 d=1 t=5797
guan zhu 	關注	c=4 d=1.00005 t=18491
guan zhu de 	關注的	c=1 d=1 t=9029
guan zhu le 	關注了	c=2 d=1 t=25144
guang 	光	c=10 d=1 t=22572
guang biao 	光標	c=0 d=0.1 t=3669
guang chang 	廣場	c=0 d=0.1 t=17129
guang dan 	光蛋	c=2 d=1.2982 t=22823
guang dui 	光隊	c=1 d=1 t=904
guang fan 	廣泛	c=1 d=1 t=14169
guang gao 	廣告	c=3 d=1 t=22129
guang gong 	光弓	c=4 d=2.88412 t=18872
guang huan 	光環	c=1 d=1 t=2583
guang jiao 	廣角	c=1 d=1 t=8936
guang qu 	光驅	c=2 d=1.96561 t=23838
guang shi 	光是	c=1 d=1 t=9981
guang yi 	廣義	c=0 d=0.1 t=5301
guang yi biao 	廣義表	c=1 d=1 t=5302
gui 	貴	c=1 d=0.1 t=12889
gui 	鬼	c=2 d=1 t=23684
gui bian 	詭辯	c=0 d=0.1 t=9893
gui bian lun 	詭辯論	c=2 d=1.90032 t=9915
gui de 	貴的	c=0 d=0.1 t=26689
gui de hen 	貴的很	c=1 d=1 t=26690
gui dian 	貴點	c=1 d=1 t=7585
gui ding 	規定	c=3 d=1.60648 t=14325
gui ding le 	規定了	c=1 d=1 t=14409
gui fan 	規範	c=1 d=1 t=20491
gui hua 	規劃	c=0 d=0.1 t=15858
gui ji duo duan 	詭計多端	c=2 d=1 t=24477
gui ju 	規矩	c=0 d=0.1 t=20488
gui lai 	歸來	c=1 d=1 t=25473
gui lv 	規律	c=1 d=1 t=20598
gui mo 	規模	c=0 d=0.1 t=17654
gui qi 	鬼泣	c=1 d=1 t=7617
gui yi 	詭異	c=0 d=0.1 t=7852
gui yi bei 	貴一倍	c=1 d=1 t=12890
gui yi de 	詭異的	c=1 d=1 t=7853
gui ying 	鬼影	c=1 d=1 t=4766
gui ze 	規則	c=18 d=1.19431 t=23210
gui ze shi 	規則是	c=1 d=1 t=3446
gui zhi dao 	鬼知道	c=2 d=1 t=24145
gui zhuang 	跪裝	c=1 d=1 t=16541
gun 	滾	c=1 d=1 t=17331
gun dong tiao 	滾動條	c=1 d=1 t=9733
gun le 	滾了	c=1 d=1 t=6889
guo 	國	c=2 d=0.496242 t=8805
guo 	過	c=16 d=0.264477 t=26693
guo 	郭	c=1 d=1.05299 t=12990
guo 	鍋	c=1 d=1 t=10591
guo cheng 	過程	c=7 d=1.01578 t=21249
guo cheng zhong 	過程中	c=1 d=1 t=6673
guo de 	過得	c=0 d=0.1 t=13136
guo ding 	國定	c=1 d=1 t=23705
guo dong 	果凍	c=1 d=1.1 t=19866
guo du shi qi 	過渡時期	c=2 d=1 t=20108
guo duan shi jian 	過段時間	c=2 d=1 t=17640
guo duo 	過多	c=1 d=1 t=10808
guo fu 	國服	c=7 d=0.392586 t=26693
guo fu rong 	郭芙蓉	c=1 d=1 t=12864
guo gong liang dang 	國共兩黨	c=1 d=1 t=20709
guo hou 	過後	c=2 d=1 t=24339
guo ji 	國籍	c=1 d=1 t=24394
guo ji 	國際	c=2 d=1 t=15444
guo ji ban 	國際版	c=1 d=1 t=13412
guo ji fu 	國際服	c=4 d=1 t=20813
guo ji ju shi 	國際局勢	c=1 d=1 t=15441
guo ji shang 	國際上	c=1 d=1 t=5746
guo ji zhi fu 	國際支付	c=2 d=1 t=9125
guo jia 	國家	c=16 d=2.83724 t=22141
guo jia fu qiang 	國家服搶	c=1 d=1 t=21667
guo jia he 	國家和	c=1 d=1 t=20442
guo jia ji qi 	國家機器	c=2 d=1.96079 t=21353
guo jia shi chang 	國家市場	c=1 d=1 t=14717
guo jia zhi li 	國家治理	c=2 d=1.13003 t=21056
guo jia zhu quan 	國家主權	c=0 d=0.1 t=20662
guo le 	過了	c=3 d=1.01107 t=26687
guo liang tian 	過兩天	c=1 d=1 t=16386
guo min 	國民	c=3 d=1 t=22084
guo min dang 	國民黨	c=3 d=1 t=22051
guo min jing ji 	國民經濟	c=1 d=1 t=15853
guo nei 	國內	c=6 d=1 t=26358
guo qi 	過期	c=0 d=0.1 t=1212
guo qi le 	過期了	c=2 d=1.00127 t=2546
guo qing 	國情	c=1 d=1 t=20300
guo qing 	國慶	c=3 d=1.97045 t=23721
guo qu 	國區	c=3 d=1 t=9875
guo qu 	過去	c=6 d=1 t=22500
guo qu le 	過去了	c=0 d=0.1 t=3500
guo ran 	果然	c=2 d=1 t=16611
guo ran shi 	果然是	c=1 d=1 t=11865
guo wai 	國外	c=1 d=1 t=22532
guo wan 	過完	c=3 d=1.06079 t=18737
guo wang 	國王	c=1 d=1 t=16503
guo yi 	國一	c=0 d=0.1 t=26522
guo ying 	國營	c=0 d=0.1 t=21720
guo ying jing ji 	國營經濟	c=1 d=1 t=21721
guo you qi ye 	國有企業	c=1 d=1 t=20506
ha 	哈	c=6 d=1 t=23101
ha fo 	哈佛	c=1 d=1 t=5744
ha ha 	哈哈	c=3 d=1 t=23100
ha ha ha 	哈哈哈	c=1 d=1 t=23445
ha mu lei te 	哈姆雷特	c=1 d=1 t=5813
ha shi qi 	哈士奇	c=3 d=2.84177 t=7122
ha si 	哈斯	c=0 d=0.1 t=5541
ha xi 	哈希	c=1 d=1 t=6935
hai 	嗨	c=1 d=1 t=1237
hai 	海	c=1 d=1 t=18539
hai 	還	c=34 d=0.99005 t=26693
hai ba 	還把	c=1 d=1 t=17682
hai bian 	海邊	c=1 d=1 t=10409
hai bu gou 	還不夠	c=1 d=1 t=20808
hai bu ru 	還不如	c=1 d=1 t=13182
hai bu shi 	還不是	c=2 d=1 t=22766
hai bu yong 	還不用	c=1 d=1 t=11392
hai bu zhi dao 	還不知道	c=1 d=1 t=22593
hai chu 	害處	c=0 d=0.1 t=17561
hai chu yu 	害處於	c=1 d=1 t=17562
hai dao 	海盜	c=1 d=1 t=785
hai duo 	還多	c=2 d=1 t=9274
hai gai juan 	還改卷	c=1 d=1 t=12545
hai hai 	嗨嗨	c=1 d=1 t=17531
hai hao 	還好	c=1 d=0.1 t=23972
hai hao ba 	還好吧	c=2 d=1 t=24159
hai hao dian 	還好點	c=1 d=1 t=25293
hai hao wo mei mai 	還好我沒買	c=1 d=1 t=23973
hai hui 	還會	c=1 d=1 t=4228
hai huo zhe 	還活着	c=1 d=1 t=19869
hai ke yi 	還可以	c=1 d=1 t=13622
hai mei 	還沒	c=10 d=1.00804 t=25174
hai mei bei 	還沒背	c=1 d=1 t=18657
hai mei chu 	還沒出	c=2 d=1 t=18732
hai mei da 	還沒打	c=1 d=1 t=13061
hai mei jian guo 	還沒見過	c=1 d=1 t=13475
hai mei ling 	還沒領	c=1 d=1 t=24666
hai mei mai 	還沒買	c=1 d=1 t=23909
hai mei shui 	還沒睡	c=1 d=1 t=4565
hai mei tui 	還沒推	c=1 d=1 t=18964
hai mei you 	還沒有	c=1 d=1 t=12384
hai mo 	嗨魔	c=1 d=1 t=22333
hai neng 	還能	c=7 d=1.37916 t=25778
hai neng yong 	還能用	c=1 d=1 t=9608
hai qi 	還氣	c=1 d=1 t=17236
hai shao 	還少	c=1 d=1 t=11475
hai sheng 	還剩	c=1 d=1 t=17136
hai shi 	還是	c=64 d=0.9464 t=26693
hai shi fu ze ren 	還是負責人	c=1 d=1 t=16827
hai shi sha 	還是啥	c=1 d=1 t=22463
hai shi yao qu 	還是要去	c=1 d=1 t=1877
hai shuo 	還說	c=1 d=0.1 t=11266
hai shuo sha 	還說啥	c=1 d=1 t=11267
hai suan 	還算	c=1 d=1 t=25713
hai tang 	海棠	c=1 d=1 t=17822
hai ting 	還挺	c=0 d=0.100021 t=4418
hai ting duo de 	還挺多的	c=1 d=1 t=2726
hai ting shu fu 	還挺舒服	c=1 d=1 t=4419
hai xiao 	還笑	c=1 d=1 t=25970
hai xing 	還行	c=11 d=1.71177 t=23422
hai xu yao 	還需要	c=1 d=1 t=4614
hai yao 	還要	c=7 d=1.0113 t=26076
hai yao ba 	還要把	c=1 d=1 t=25629
hai yao mai 	還要買	c=1 d=1 t=2497
hai yao xie 	還要寫	c=1 d=1 t=22790
hai yao zha 	還要炸	c=1 d=1 t=11533
hai yi wei 	還以爲	c=3 d=1.90032 t=8009
hai you 	還有	c=47 d=1.24797 t=26036
hai you ge 	還有個	c=4 d=1 t=25494
hai you ji hui 	還有機會	c=1 d=1 t=19509
hai you ke 	還有課	c=1 d=1 t=11917
hai you na ge 	還有那個	c=1 d=1 t=19778
hai you ren 	還有人	c=1 d=1 t=13648
hai you yi ge 	還有一個	c=1 d=1 t=16921
hai you yi xie 	還有一些	c=1 d=1 t=20829
hai you zhe ge 	還有這個	c=1 d=1 t=8669
hai zai 	還在	c=8 d=1.04307 t=25699
hai zai xiang 	還在想	c=1 d=1 t=18067
hai zai yong 	還在用	c=1 d=1 t=11264
hai zhen shi 	還真是	c=1 d=1 t=831
hai zi 	孩子	c=1 d=1 t=18252
hai zi men 	孩子們	c=1 d=1 t=26071
han 	汗	c=1 d=1 t=2681
han dong 	寒冬	c=0 d=0.1 t=21694
han dong 	撼動	c=0 d=0.1 t=21695
han dong le 	寒冬了	c=1 d=1 t=21695
han dong le 	撼動了	c=1 d=1 t=21696
han hua 	漢化	c=1 d=1 t=3375
han hua zu 	漢化組	c=1 d=1 t=3319
han shu 	函數	c=1 d=1.09851 t=7899
han wang 	寒王	c=1 d=1 t=1532
han wei zhe 	捍衛者	c=2 d=1.93239 t=9700
han yu 	漢語	c=1 d=1 t=9801
han yu 	韓語	c=1 d=1 t=9802
han zi 	漢字	c=1 d=1 t=6052
hang 	行	c=3 d=1.74312 t=26693
hang hao 	行號	c=5 d=1.00599 t=5446
hang kong gang 	航空港	c=0 d=0.1 t=5992
hang lie shi 	行列式	c=1 d=1 t=1911
hang qing 	行情	c=1 d=1 t=24632
hang tian 	航天	c=1 d=1 t=23798
hao 	嚎	c=1 d=1 t=1564
hao 	好	c=19 d=1.06315 t=25947
hao 	薅	c=0 d=0.1 t=12676
hao 	號	c=9 d=0.1 t=19655
hao a 	好啊	c=1 d=0.211189 t=26693
hao ba 	好吧	c=2 d=1 t=17879
hao bu hao 	好不好	c=1 d=1 t=9791
hao can 	好慘	c=2 d=1 t=25413
hao chang 	好長	c=1 d=1 t=8792
hao chi 	好喫	c=2 d=1 t=12700
hao chi de 	好喫的	c=1 d=1 t=12733
hao chou 	好醜	c=1 d=0.387245 t=26693
hao chou a 	好醜啊	c=1 d=0.339596 t=26693
hao da 	好大	c=1 d=1 t=22904
hao dai 	好歹	c=1 d=1 t=17239
hao de 	好的	c=3 d=1.956 t=11561
hao dian 	好點	c=2 d=1.00032 t=26440
hao dong xi 	好東西	c=1 d=1 t=12917
hao duo 	好多	c=3 d=0.1 t=23932
hao duo ge 	好多個	c=1 d=1 t=11511
hao duo gua 	好多瓜	c=1 d=1 t=23933
hao duo le 	好多了	c=1 d=1 t=25644
hao duo nian 	好多年	c=1 d=1 t=23834
hao duo xiao qu 	好多校區	c=1 d=1 t=7007
hao e 	好餓	c=0 d=0.1 t=11459
hao fan 	好煩	c=1 d=1 t=24995
hao ge ge 	好哥哥	c=1 d=1 t=17138
hao guai 	好怪	c=1 d=1 t=3229
hao guang 	好廣	c=1 d=1 t=18832
hao gui 	好貴	c=1 d=1 t=26115
hao hao 	好好	c=2 d=1 t=25641
hao hao chong 	好好衝	c=1 d=1 t=11157
hao hao xiao 	好好笑	c=3 d=1 t=25446
hao hao yong de 	好好用的	c=1 d=1 t=4793
hao hua 	好滑	c=1 d=1 t=25155
hao hua 	好花	c=1 d=1 t=24472
hao hua ban 	豪華版	c=1 d=1 t=7048
hao huai 	好壞	c=1 d=1 t=10009
hao jia huo 	好傢伙	c=6 d=1 t=12886
hao jiu 	好久	c=7 d=1.02625 t=24095
hao jiu le 	好久了	c=1 d=1 t=18411
hao kai xin 	好開心	c=1 d=1 t=11896
hao kan 	好看	c=2 d=0.126516 t=17208
hao kan de 	好看的	c=1 d=1 t=384
hao kan yi dian 	好看一點	c=1 d=1 t=16453
hao ke ai 	好可愛	c=2 d=1 t=16576
hao ke pa 	好可怕	c=2 d=1 t=22178
hao lao de 	好老的	c=1 d=1 t=13489
hao le 	好了	c=2 d=0.1 t=18832
hao lei 	好累	c=1 d=0.1 t=26692
hao leng 	好冷	c=1 d=1 t=1863
hao li jie le 	好理解了	c=1 d=1 t=18743
hao man 	好慢	c=1 d=1 t=3952
hao meng 	好猛	c=1 d=1 t=23894
hao nan 	好難	c=0 d=0.1 t=25404
hao nan jin 	好難進	c=1 d=1 t=25405
hao nei cun 	好內存	c=1 d=1 t=12517
hao o 	好哦	c=6 d=1 t=26504
hao pei 	好配	c=1 d=1 t=12309
hao ping 	好評	c=0 d=0.1 t=5814
hao ping ru chao 	好評如潮	c=1 d=1 t=5815
hao qi 	好奇	c=1 d=1.00014 t=7131
hao qi lai 	好起來	c=0 d=0.0410656 t=26693
hao qi lai le 	好起來了	c=1 d=0.412714 t=26693
hao qi lai li 	好起來力	c=1 d=1 t=8738
hao qi xin 	好奇心	c=1 d=1 t=5827
hao qiang 	好強	c=2 d=1 t=26522
hao shao 	好少	c=2 d=1 t=18469
hao shi ji 	好時機	c=1 d=1 t=23898
hao wan 	好玩	c=1 d=1 t=13306
hao xiang 	好像	c=25 d=1.27819 t=26613
hao xiang 	好香	c=1 d=1 t=17361
hao xiang shi 	好像是	c=4 d=1.03405 t=4216
hao xiao 	好笑	c=0 d=0.1 t=7429
hao xiao xi 	好消息	c=1 d=1 t=25583
hao yan shu 	好眼熟	c=1 d=1 t=23601
hao yang mao 	薅羊毛	c=1 d=1 t=12677
hao ye 	好耶	c=6 d=1 t=16159
hao yi dian 	好一點	c=1 d=1 t=6232
hao yong 	好用	c=4 d=1.04317 t=23527
hao yong duo le 	好用多了	c=2 d=1.60957 t=23459
hao you 	好友	c=2 d=1 t=24528
hao zhuan 	好轉	c=1 d=1 t=14527
he 	合	c=1 d=0.1 t=8499
he 	和	c=206 d=1.32095 t=26693
he 	核	c=3 d=1.81876 t=12811
he 	盒	c=3 d=0.0302704 t=26693
he 	鶴	c=2 d=0.99005 t=26693
he bing 	合併	c=1 d=1 t=12531
he de 	喝的	c=0 d=0.1 t=7578
he huo ren 	合夥人	c=1 d=1 t=8916
he ji 	合集	c=1 d=1 t=10356
he ka fei 	喝咖啡	c=1 d=1 t=23103
he ku 	何苦	c=1 d=1 t=23000
he le 	合了	c=1 d=1 t=3137
he li 	河狸	c=0 d=0.1 t=24220
he li de 	合理的	c=2 d=1.00002 t=10038
he liu 	河流	c=1 d=1 t=9912
he ping 	和平	c=3 d=1 t=18826
he shi 	合適	c=1 d=1 t=2921
he shi sheng wu 	和實生物	c=1 d=1 t=7607
he suan 	核酸	c=1 d=1 t=18588
he suan ma 	核酸嘛	c=1 d=1 t=1058
he ta 	和他	c=1 d=1 t=468
he wan le 	喝完了	c=1 d=1 t=9538
he wo 	和我	c=1 d=1 t=7552
he xie 	和諧	c=3 d=1 t=21677
he xie she hui 	和諧社會	c=1 d=1 t=15437
he xin 	核心	c=8 d=0.100056 t=24059
he xin de 	核心的	c=1 d=1 t=8635
he xin tong shi 	核心同時	c=1 d=1 t=24060
he zhang hao 	和帳號	c=1 d=1 t=21553
he zi 	盒子	c=3 d=0.235746 t=26693
he zuo 	合作	c=4 d=1.00001 t=20712
hei 	黑	c=8 d=1.09419 t=11276
hei bai 	黑白	c=1 d=1 t=6824
hei ge er 	黑格爾	c=2 d=1.99501 t=9929
hei hei 	嘿嘿	c=2 d=1.99005 t=20850
hei huang guan 	黑皇冠	c=1 d=1 t=455
hei jing 	黑鏡	c=2 d=1.73345 t=13208
hei le 	黑了	c=0 d=0.1 t=7153
hei mao 	黑貓	c=0 d=0.1 t=4127
hei mo 	黑魔	c=5 d=1.97045 t=25652
hei ping 	黑屏	c=6 d=2.98391 t=26651
hei ping guo 	黑蘋果	c=1 d=1 t=11265
hei se 	黑色	c=2 d=1 t=23093
hei tang 	黑糖	c=3 d=2.95072 t=24377
hei wang guan 	黑王冠	c=1 d=1 t=2346
hen 	很	c=11 d=1.78349 t=26689
hen 	狠	c=1 d=1 t=25878
hen bang 	很棒	c=0 d=0.1 t=7994
hen bu cuo 	很不錯	c=0 d=0.1 t=12932
hen bu cuo de 	很不錯的	c=1 d=1 t=12933
hen chang 	很長	c=0 d=0.1 t=26651
hen chang yi duan 	很長一段	c=1 d=1 t=26652
hen da 	很大	c=2 d=1 t=23160
hen da de 	很大的	c=1 d=1 t=13594
hen dan diao 	很單調	c=1 d=1 t=5852
hen duo 	很多	c=4 d=0.1 t=22598
hen duo ge 	很多個	c=1 d=1 t=3738
hen duo ma 	很多嗎	c=1 d=1 t=19021
hen duo wen ti 	很多問題	c=1 d=1 t=22599
hen duo zhong 	很多種	c=1 d=1 t=18002
hen e xin 	很噁心	c=1 d=1 t=17597
hen fang bian 	很方便	c=2 d=1.04573 t=11661
hen gao 	很高	c=2 d=1 t=23912
hen gua 	很刮	c=1 d=1 t=13457
hen hao 	很好	c=3 d=1 t=18477
hen hao yong 	很好用	c=0 d=0.1 t=3820
hen hao yong de 	很好用的	c=1 d=1 t=3821
hen he li 	很合理	c=1 d=1 t=12711
hen he li 	很河狸	c=1 d=1 t=24221
hen ji 	很急	c=0 d=0.1 t=8923
hen ji 	痕跡	c=1 d=0.1 t=23988
hen ji ma 	很急嗎	c=1 d=1 t=8924
hen jian 	很尖	c=0 d=0.1 t=12825
hen jian de 	很尖的	c=1 d=1 t=12826
hen jin 	很近	c=0 d=0.1 t=7667
hen lei 	很累	c=1 d=1 t=24887
